article,year,sentence,sentiment,confidence
2014/33-pg10.3_009.txt,2014,金融危机前，他们在房产和信贷两大泡沫的支撑下，掀起了一股由债务支撑的消费狂潮，随着两大泡沫破灭，消费者被迫走上节俭道路,中性,0.3925
2014/30-pg9.3_013.txt,2014,乔伊斯表示，国际金融危机后，新西兰经济正在逐渐恢复，目前失业率已跌至5.4%，且仍有下行可能,中性,0.4813
2014/53-pg17.1_007.txt,2014,到2008年国际金融危机爆发前，发展中国家的投资额已经赶上发达国家，而且推动全球经济数据呈现快速增长态势,中性,0.4633
2014/53-pg17.1_007.txt,2014,列奥尼德·格里高利耶夫：金融危机时，以巨大资本流动为特点的美国经济遭遇了大萧条，欧盟和欧元区也面临严重问题,中性,0.4607
2014/53-pg17.1_007.txt,2014,当前关键在突破发展瓶颈，实现经济转型，改变受外部环境影响较大的状况 森古普塔：2008年国际金融危机爆发后，新兴市场国家在世界经济舞台发挥了关键性作用,中性,0.4434
2014/39-pg12.2_005.txt,2014,2008年国际金融危机爆发后，中国为世界经济度过危机发挥了重要作用，这让全世界都看到了中国对世界经济的影响力,中性,0.4746
2014/38-pg12.1_006.txt,2014,但与许多国家至今仍在国际金融危机的阴影下挣扎相比，与许多国家陷入中等收入陷阱相比，我国可谓“风景这边独好”,中性,0.4643
2014/37-pg11.3_013.txt,2014,国际金融危机和欧债危机是造成社会不公平的重要原因 这是贝塔斯曼基金会第一次发布以社会公正为主题的调查报告,中性,0.5054
2014/37-pg11.3_013.txt,2014,“国际金融危机和欧债危机是造成欧洲社会越来越不公平的重要原因,中性,0.4889
2014/35-pg11.1_002.txt,2014,在国际金融危机爆发后的几年，中国经济增长对带动世界经济走向复苏发挥了重要作用,中性,0.4703
2014/53-pg17.1_005.txt,2014,他在讲话中肯定了北京市近几年来积极应对国际金融危机冲击、切实转变经济发展方式、大力加强社会建设、打响治理“城市病”攻坚战所取得的成绩，就做好北京发展和管理工作发表了重要意见,中性,0.4133
2014/33-pg10.3_004.txt,2014,中国的经济发展为应对国际金融危机、推动世界经济复苏增长作出了重要贡献,正面,0.3863
2014/51-pg16.2_007.txt,2014,从全球范围来看，大力发展高端生产性服务业正成为发达经济体应对国际金融危机冲击，构筑未来经济增长的新战略支点,中性,0.4569
2014/51-pg16.2_007.txt,2014,这种状况随着国际金融危机以来欧美日等主要经济体复苏乏力和各国政府出台过多投资刺激计划而呈现恶化趋势,中性,0.4903
2014/57-pg18.2_015.txt,2014,第二次是在2008年后，这是百年不遇的国际金融危机所致，美国大部分工业行业都出现了产能过剩,中性,0.4191
2014/47-pg15.1_007.txt,2014,亚洲经济一体化进程在加强，即使是国际金融危机也没有从根本上改变这一大趋势,中性,0.4845
2014/32-pg10.2_011.txt,2014,会议一致认为，世界经济已经进入后国际金融危机时期的深度调整阶段，亚太发展取决于创新和改革,中性,0.4933
2014/48-pg15.2_013.txt,2014,只要方向正确、路径正确，亚洲前景就一定是光明的 对照当前经历着深度调整、存在较大不确定性的世界经济，亚洲经济的活力多有可圈可点之处：国际货币基金组织称，国际金融危机爆发后5年间，亚洲对世界经济增长的贡献高达2/3，2014年亚洲新兴市场国家增长率为全球最高，预计超过6.5%,中性,0.5228
2014/48-pg15.2_013.txt,2014,1997年亚洲金融危机席卷而来，亚洲国家货币纷纷骤然贬值，市场上空笼罩阴云,中性,0.4770
2014/48-pg15.2_013.txt,2014,中国同样面对巨大经济压力，但毅然坚持人民币不贬值，担当起大国的道义，为亚洲国家走出金融危机阴影形成重要支撑,中性,0.4687
2014/48-pg15.2_013.txt,2014,2008年美国次债危机引发国际金融危机，中国的积极应对行动，有力稳住了东盟国家的市场,中性,0.4926
2014/43-pg13.3_013.txt,2014,2008年国际金融危机爆发后，受冲击最大的正是这类出口企业,中性,0.4653
2014/30-pg9.3_017.txt,2014,一是“付款箱”，存款保险仅负责在银行倒闭后赔付存款人，典型的如国际金融危机前的英国、澳大利亚,負面,0.4661
2014/30-pg9.3_017.txt,2014,国际金融危机的经验表明，纯粹的“付款箱”模式只能事后被动赔付，缺乏对问题银行进行早期干预和风险处置的能力,中性,0.4284
2014/30-pg9.3_017.txt,2014,在此次国际金融危机中，美国联邦存款保险公司运用“收购与承接”方式处置的银行占倒闭银行总数的95%,中性,0.4009
2014/30-pg9.3_017.txt,2014,“这说明，有了存款保险制度，即便在金融危机期间，绝大部分银行的‘生死’也与存款人无关,負面,0.4455
2014/30-pg9.3_016.txt,2014,国际金融危机对欧、美银行体系都造成了重大冲击,中性,0.4770
2014/30-pg9.3_016.txt,2014,存款保险在我国起步虽不算早，决策层却早有洞察，在多年潜心研究和比较分析，特别是有机会充分借鉴了国际金融危机中正反两方面的经验教训之后，相对于一些正在反思和重建的国家，在趋势和理念上我们有可能后发而先至,中性,0.4624
2014/32-pg10.2_014.txt,2014,会议一致认为，世界经济已经进入后国际金融危机时期的深度调整阶段，亚太发展取决于创新和改革,中性,0.4933
2014/37-pg11.3_010.txt,2014,2008年国际金融危机爆发之前，意大利在出口方面的竞争力与德国之间的差别并不明显,中性,0.4919
2014/37-pg11.3_018.txt,2014,调控手段主要针对银行 自从国际金融危机爆发以来，欧洲央行做出了一系列调控动作,中性,0.5289
2014/37-pg11.3_018.txt,2014,这种债券将不同企业的债券捆绑销售，但会导致债券的风险透明度下降，曾导致2008年的国际金融危机,中性,0.4225
2014/46-pg14.3_002.txt,2014,2008年国际金融危机就是一系列扭曲市场行为累积而成的后果,中性,0.4470
2014/46-pg14.3_002.txt,2014,后国际金融危机时代，如何重建公开、公正、公平、透明的市场交易机制和秩序，将比经济复苏本身更值得关注,中性,0.4678
2014/49-pg15.3_001.txt,2014,危机引线仍未完全拔除（国际视野） 后危机时代，美欧金融监管呈现新趋势，但制度性缺陷犹存—— 作者：郑联盛;匡可可;张芳曼 时间：2014-04-18 版式设计、制图：张芳曼 郑联盛 匡可可 国际金融危机发生后，作为危机的策源地和中心，美欧金融监管改革“箭在弦上，不得不发”，在限制金融过度自由化、防范金融监管失效、加强消费者金融保护等方面的改革取得了较大进展,中性,0.4928
2014/49-pg15.3_001.txt,2014,但由于制度性缺陷难消，美欧未来再度爆发金融危机的隐患仍然存在，发展中国家需对此保持警惕 金融监管是保证金融体系健康稳定有效运行的最后“堡垒”，负有保护消费者权益、维系金融市场公平与透明、监控金融机构的安全与稳健等目标,中性,0.4677
2014/49-pg15.3_001.txt,2014,2008年由美国次贷危机引发的国际金融危机，成为自20世纪30年代大萧条以来全球最为严重的金融危机，其影响至今，是金融监管“失职”的典型例子,中性,0.4521
2014/49-pg15.3_001.txt,2014,国际金融危机发生后，加强金融监管合作、防止金融风险的跨国蔓延成为各国金融监管当局的广泛共识,中性,0.4756
2014/49-pg15.3_001.txt,2014,特点四：加强对金融消费者权益的保护 本轮国际金融危机充分暴露了原有监管体制对金融消费者保护不足的问题,中性,0.4661
2014/49-pg15.3_001.txt,2014,国际金融危机后，如何重获金融消费者信任、建立一个公平透明的市场环境，成为急需解决的重要问题,中性,0.4870
2014/49-pg15.3_001.txt,2014,金融自由化向实体经济回归，去杠杆化较为明显，由内向外扩张趋势明显 国际金融危机之前，美欧金融自由化蓬勃发展，深刻改变了美欧金融体系、市场结构以及风险分布格局,中性,0.4900
2014/49-pg15.3_001.txt,2014,政治体制与金融制度矛盾难消，再次爆发危机的风险仍需警惕 在金融危机之后，美欧在金融过度自由化、金融监管失效等方面的改革取得了较大的进展，虚拟经济与实体经济脱节、金融自由化与监管有效性脱节以及金融风险与应对机制脱节等问题得到了改善,中性,0.4892
2014/49-pg15.3_001.txt,2014,金融危机之后，美欧应对框架的核心是相似的：通过政府救援，将私人部门的风险公共化，公共风险债务化，而债务风险货币化,中性,0.4626
2014/49-pg15.3_001.txt,2014,欧洲在其债务危机的应对中，建立健全了金融危机的应对机制和金融稳定机制,中性,0.5256
2014/49-pg15.3_001.txt,2014,在欧元区及欧盟制度设计上，危机应对机制和金融稳定机制是缺失的，这导致欧债危机的应对一度被动化、政治化和分散化，直至欧洲稳定机制、长期再融资计划以及直接货币交易计划的实施，才使得欧元区建立了真正的金融危机应对机制、流动性支撑机制以及实质上的最后贷款人制度,中性,0.5328
2014/30-pg9.3_014.txt,2014,国际金融危机后，中国道路、中国模式越来越受到各国肯定,中性,0.4852
2014/47-pg15.1_015.txt,2014,据介绍，为应对“5·12”汶川特大地震灾害和国际金融危机的冲击，成都市出台了灾后购房入户政策，凡购买商品房（含二手房）面积在70平方米以上的市外人员即可落户,中性,0.3999
2014/36-pg11.2_016.txt,2014,”国际金融危机爆发后，不少有见识的西方思想家、政治家也对西方过度分权的政治体制提出质疑,中性,0.4618
2014/52-pg16.3_011.txt,2014,在应对国际金融危机严重冲击之后，针对国内外经济大环境的新变化，2012年我国经济增速预期目标下调到7.5%,中性,0.5022
2014/50-pg16.1_010.txt,2014,国际金融危机期间，美欧等南非传统客源地国家的经济亦受到重创，游客增速出现下滑,中性,0.4873
2014/50-pg16.1_010.txt,2014,作为非洲最大的经济体，南非经济近年来深受国际金融危机的影响，国内生产总值增幅由2004年至2007年的平均每年5%左右跌至2008年至2012年的2%,中性,0.4781
2014/52-pg16.3_004.txt,2014,2008年国际金融危机以来，很多拉美国家都认识到，减少对资源出口的过于依赖，增加就业确保社会稳定，都离不开制造业的提升,中性,0.4736
2014/43-pg13.3_011.txt,2014,为什么要对场外金融衍生品实行强制集中清算？集中清算的利率互换产品将带来怎样的变化？ 自行结算潜藏系统性金融风险，各国竞相集中清算 集中清算主要针对各金融机构，源起2008年国际金融危机之后,中性,0.4123
2014/43-pg13.3_011.txt,2014,上海清算所总经理谢众谈到集中清算的背景时分析，2008年国际金融危机爆发的重要原因，是不受监管的场外金融衍生品市场的过度发展,中性,0.4557
2014/43-pg13.3_011.txt,2014,2008年国际金融危机爆发后，二十国集团领导人系列峰会对场外金融衍生品改革达成共识,中性,0.5043
2014/43-pg13.3_011.txt,2014,集中清算成为后金融危机时代各国金融监管改革的竞技场,中性,0.4478
2014/43-pg13.3_011.txt,2014,2009年11月28日，经财政部同意、中国人民银行批准成立了上海清算所，是国际金融危机后全球新成立的第二家专业清算机构,中性,0.4365
2014/37-pg11.3_011.txt,2014,黄仁伟：2008年国际金融危机后，世界主要大国都在进行改革，哪个大国改革的步子更快、更好，在今后的十年或者几十年，这个大国就可能取得战略主动,負面,0.3833
2014/37-pg11.3_011.txt,2014,然而，国际金融危机的爆发，改变了中国发展的外部环境，给中国带来了债务问题、影子银行等问题，而中国至今仍在解决这些问题,中性,0.4360
2014/37-pg11.3_011.txt,2014,国际金融危机后，西方经济发展进入零增长阶段,中性,0.4742
2014/37-pg11.3_011.txt,2014,美国经济发展缓慢，欧洲经济规模仍然比国际金融危机前要小，导致对中国商品的需求大幅缩减，造成中国出口环境恶化,中性,0.4711
2014/37-pg11.3_011.txt,2014,同时，国际金融危机加剧了美国全球影响力衰退的趋势，这一观点得到了广泛认同,中性,0.4418
2014/44-pg14.1_008.txt,2014,在2008年国际金融危机横扫全球时，两家企业不仅未被冲垮，反而逆势增长,中性,0.3894
2014/48-pg15.2_012.txt,2014,国际金融危机爆发的本质说明，西方是不太可靠的贸易和发展伙伴,中性,0.4782
2014/39-pg12.2_007.txt,2014,从2007年至2012年，上任总统萨科齐在位时，法国遭遇国际金融危机与欧债危机，使法国经济雪上加霜,中性,0.5022
2014/55-pg17.3_009.txt,2014,互联网金融正将保险业“跑马圈地”的发展模式逼入“死胡同” 2013年保险业发展企稳向好，步出国际金融危机阴霾,負面,0.4354
2014/57-pg18.2_004.txt,2014,2008年，受国际金融危机冲击，拉脱维亚陷入严重的经济衰退，2009年国内生产总值增长率一度达到负17%,中性,0.5052
2014/57-pg18.2_004.txt,2014,加入欧元区，可以消除拉特与欧元的汇兑风险，采用欧元有助于节省预算、吸引外国直接投资、巩固金融危机以来拉脱维亚取得的经济复苏成果，有利于进一步加深拉脱维亚经济与欧洲经济的融合,中性,0.5225
2014/57-pg18.2_004.txt,2014,2008年国际金融危机以后，欧洲国家一直忙于本国经济的重组和再平衡,中性,0.5153
2014/30-pg9.3_004.txt,2014,工业增加值增速一度探至2008年国际金融危机以来新低，工程机械、原煤等工业产品产量负增长，汽车、钢铁、水泥等增幅出现明显下降，都表明企业在被动调整产能，供给增长明显放缓,中性,0.4477
2014/30-pg9.3_004.txt,2014,在浙江嘉兴，受益于“营改增”的结构性减税，越来越多的小微企业踊跃投身于现代服务业，纳税企业数量比试点初期增加了185%…… 展望来年，从外部环境看，金融危机后的调整仍未完成，世界经济复苏的过程仍然一波三折,中性,0.4149
2014/53-pg17.1_016.txt,2014,因此，如果说全球经济失衡是此次国际金融危机的根源，那么，其主要根源则在美国,中性,0.4675
2014/55-pg17.3_007.txt,2014,国际金融危机、中东地区持续动荡、欧元的命运等公共问题，是世界经济论坛过去经常探讨的议题,中性,0.4981
2014/55-pg17.3_007.txt,2014,国际金融危机清楚地表明，不了解风险，各自应对，会给全球带来灾难性后果,中性,0.4678
2014/35-pg11.1_012.txt,2014,国际金融危机冲击前后的2008年和2009年，年内波动幅度分别是3.6和4.7个百分点，2010年—2013年分别是2.5、0.9、0.5、0.3个百分点，今年前三季度波动幅度只有0.2个百分点,中性,0.4575
2014/52-pg16.3_002.txt,2014,此间分析认为，英国近期经济复苏良好是政府决定拿出大笔资金参与国际尖端科研项目的重要推动力，外界甚至预测英国经济有望很快恢复到2008年国际金融危机爆发前最好水平,中性,0.4839
2014/41-pg13.1_004.txt,2014,2009年，习近平到访委内瑞拉时，正值国际金融危机肆虐，各国均面临严峻挑战，两国领导人会晤表示，“中委一致决定继续深化两国共同发展的战略伙伴关系，携手共渡难关，用实际行动诠释患难见真情”,中性,0.4566
2014/35-pg11.1_010.txt,2014,国际金融危机后，我国股市经历了长达7年的低迷与徘徊，即使那些已经上市的企业也很难利用股票市场进行再融资,負面,0.3922
2014/37-pg11.3_009.txt,2014,2008年国际金融危机以来，中国成功应对危机冲击，实施负责任的经济金融政策，保持国内经济社会大局稳定，扮演了世界经济稳压器的角色,中性,0.4589
2014/54-pg17.2_002.txt,2014,因此，如果说全球经济失衡是此次国际金融危机的根源，那么，其主要根源则在美国,中性,0.4675
2014/41-pg13.1_002.txt,2014,” 此外，国际金融危机后，发达国家为振兴本国经济、扩大就业，纷纷采取措施促进制造业回流，对外投资降温、外部需求减少，也在一定程度上抑制着我国出口空间的进一步扩大,中性,0.4556
2014/41-pg13.1_002.txt,2014,国际金融危机后，世界经济结构深度调整，不同国家经济走势分化，在发达经济体普遍遭遇困难的同时，新兴经济体也遇到新挑战,中性,0.4668
2014/42-pg13.2_008.txt,2014,2008年国际金融危机对所有国家都是一个信号，不受监管的金融资本占主导地位的发展模式的枯竭,中性,0.4275
2014/33-pg10.3_001.txt,2014,尽管受国际金融危机冲击，近十年来，中尼双边贸易仍然逆势增长,中性,0.4562
2014/41-pg13.1_013.txt,2014,2008年国际金融危机爆发后，巴西、墨西哥、阿根廷和秘鲁等国将贸易重点更多转向中国，弥补了这些国家与欧美贸易疲软所遭受的损失,中性,0.4711
2015/28-pg9.1_003.txt,2015,一大批发展中国家和新兴市场国家快速发展，通过南南合作相互输送动力，增强了自身实力和自主发展能力，为后国际金融危机时期的世界经济注入新的动力，也有力推动了国际秩序朝着更加公正合理的方向发展,中性,0.4550
2015/09-pg3.3_003.txt,2015,李克强指出，国际金融危机以来的实践证明，单靠量化宽松政策难以解决制约增长的结构性障碍，着眼点还要放在做强实体经济上,中性,0.4794
2015/05-pg2.3_013.txt,2015,2008年国际金融危机爆发后，中国在应对这场危机中就充分体现了制度优势,中性,0.4908
2015/14-pg5.2_001.txt,2015,摆脱当前国际金融危机和应对全球性挑战，都需要欧中建立起更强有力、互利的合作伙伴关系,中性,0.5302
2015/13-pg5.1_001.txt,2015,世界经济处于国际金融危机后的深度调整期，不稳定不确定因素增多，新兴市场国家和发展中国家风险和挑战不断集聚，经济增速普遍放缓，金砖国家各国发展也面临不少困难和挑战,中性,0.4982
2015/12-pg4.3_010.txt,2015,一方面，当前世界经济处于国际金融危机后的深度调整期，不稳定不确定因素增多，其中新兴市场国家和发展中国家风险和挑战不断集聚，经济增速普遍放缓,中性,0.4824
2015/12-pg4.3_010.txt,2015,上周，国际货币基金组织发表最新一期《世界经济展望》，将2015年世界经济增长率预期下调0.2个百分点至3.3%，这是国际金融危机以来的最低水平,中性,0.5347
2015/12-pg4.3_010.txt,2015,该调整的一个重要原因就是发达国家仍难以摆脱金融危机遗留影响的同时，新兴市场国家出现了增速放缓迹象,中性,0.4925
2015/09-pg3.3_017.txt,2015,携手共进需要魄力和决心（钟声） 时间：2015-08-26 2015年底结束区域全面经济伙伴关系协定实质性谈判的目标并不遥远，尤其需要足够的政治魄力和决心 世界经济处于国际金融危机后的深度调整期,中性,0.4854
2015/08-pg3.2_013.txt,2015,可持续发展目标旨在根本改变旧的全球经济发展模式，强调以人为本，实现经济发展、社会公平、环境可持续三者和谐统一，契合国际金融危机后各国谋求经济转型发展的需要，有利于世界经济迈向可持续发展之路,中性,0.4627
2015/29-pg9.2_007.txt,2015,2008年国际金融危机时期，原先已经达成初步投资协议的风险投资不能如期投资，这对高投入的生物医药产业无疑是沉重打击,中性,0.4489
2015/24-pg8.1_005.txt,2015,其中，铁矿石价格下跌近50%，布伦特原油下跌45%，铜、煤炭、钢材甚至连大豆等农产品都经历了2008年国际金融危机以来最大跌幅，过去几年来的大宗商品超级周期戛然而止,中性,0.4353
2015/08-pg3.2_005.txt,2015,通过对话与合作，中美同国际社会一道，有效应对了国际金融危机，推动了世界经济复苏，引领了全球经济治理改革,中性,0.4607
2015/25-pg8.2_015.txt,2015,在长达一小时的演讲中，奥巴马将重心放在内政上，不仅宣布美国经济已经摆脱了国际金融危机的影响，“翻开新的一页”，而且提出要进一步缩小社会贫富差距，让更多经济政策向中产阶层倾斜,中性,0.4277
2015/19-pg6.3_012.txt,2015,目前，国际经济仍处于低迷时期，增长速度远低于国际金融危机前5%的平均水平,中性,0.4831
2015/19-pg6.3_012.txt,2015,全球前十大经济体，包括欧洲、日本还有新兴市场国家经济增长速度都低于国际金融危机前的水平,中性,0.5081
2015/05-pg2.3_017.txt,2015,“9·11”事件和2008年国际金融危机后，国际恐怖主义愈演愈烈，世界经济复苏缓慢，全球性问题层出不穷,中性,0.4769
2015/05-pg2.3_016.txt,2015,金砖国家仍然是世界发展新引擎（热点辨析） “金砖失色论”站不住脚 作者：张锦 时间：2015-10-15 张锦 随着国际金融危机持续发酵，世界各国经济增长普遍减速，金砖国家也难逃其害，出现了经济增速放缓的趋势,中性,0.5207
2015/05-pg2.3_016.txt,2015,因此，用国际金融危机后增长速度放缓来否定金砖国家的经济发展成效，是不公平、不全面的,中性,0.5211
2015/08-pg3.2_008.txt,2015,国际金融危机以来，全球需求动能和格局发生了重大变化，增量需求从美欧主导开始转向新兴市场经济体,中性,0.4294
2015/12-pg4.3_007.txt,2015,对缓解国际金融危机、促进全球经济复苏发挥了重要作用,中性,0.5031
2015/12-pg4.3_007.txt,2015,2008年国际金融危机发生以来，亚洲经济快速稳定增长为支撑危机中的世界经济并使其走向复苏起到了中流砥柱作用，尤其是中国、印度、东盟扮演了十分重要的角色,中性,0.4750
2015/12-pg4.3_007.txt,2015,国际金融危机发生后，中国果断采取宏观调控措施，成功阻止危机进一步扩散，并通过刺激国内需求、带动国外需求，对稳定全球经济起到了十分重要的作用,中性,0.4636
2015/12-pg4.3_007.txt,2015,国际金融危机以后，亚洲经济的调整转型与欧美经济的调整转型同步进行，正在引领世界经济进行深度调整转型,中性,0.4725
2015/12-pg4.3_015.txt,2015,肇始于美国的国际金融危机激发了国际社会对全球经济治理的讨论,中性,0.5241
2015/12-pg4.3_015.txt,2015,为了帮助克服国际金融危机、欧债危机，中国为国际货币基金组织等提供了更多金融资源，包括同意购买500亿美元国际货币基金组织债券和承诺增资430亿美元，与相关经济体签订货币互换协议等,中性,0.4940
2015/23-pg7.3_004.txt,2015,中国经济新常态不同于全球经济新常态（大家手笔） 作者：李扬 时间：2015-03-12 李 扬 近年来，对于国际金融危机以来的国内外经济发展格局，越来越多的人倾向于用“新常态”加以描述,中性,0.4500
2015/26-pg8.3_006.txt,2015,这一增速，比受国际金融危机冲击的2009年还要低，是近十几年来最低的,中性,0.4719
2015/05-pg2.3_014.txt,2015,尤其是2008年国际金融危机以来，许多人更是聚焦中国，不时用“北京共识”“中国模式”等概念试图对中国的发展作出解释,中性,0.4755
2015/24-pg8.1_013.txt,2015,因而在2008年国际金融危机爆发后，欧洲央行的货币政策一直比美国、英国、日本等发达国家保守,中性,0.5517
2015/11-pg4.2_012.txt,2015,智利比索兑美元汇率也跌至国际金融危机以来最低水平,中性,0.4481
2015/28-pg9.1_008.txt,2015,一个时期以来，全球制造业进入一个较长的深度调整期，这一方面是受国际金融危机的深刻影响，同时也反映出制造业本身创新乏力、新的增长点难觅,中性,0.4435
2015/19-pg6.3_010.txt,2015,由于公司和工会之间的有效协商，相互信任，无论是2008年国际金融危机，还是2010年社会用工环境变化，公司和工会都紧密合作，安然渡过危机，企业内未发生过任何劳资冲突事件,中性,0.4170
2015/12-pg4.3_008.txt,2015,国际金融危机结束以来，美国就业市场的缓慢复苏，未能使薪酬水平实现同步增长,中性,0.4810
2015/21-pg7.1_005.txt,2015,从法定资本金达1000亿美元的亚投行、资金规模达400亿美元的丝路基金，到仍在筹建中的金砖国家银行，再到国家开发银行已为“一带一路”沿线64个国家准备了900个项目，投资额达到8000亿美元——如此实实在在的助推举措，当然令渴望分享发展红利的后发国家为之一振，也令仍在与国际金融危机后遗症抗争的国家眼前一亮,中性,0.4919
2015/25-pg8.2_014.txt,2015,国际金融危机爆发7年来的实践证明，唯有同舟共济，才能渡过难关,中性,0.4839
2015/14-pg5.2_003.txt,2015,摆脱当前国际金融危机和应对全球性挑战，都需要欧中建立起更强有力、互利的合作伙伴关系,中性,0.5302
2015/05-pg2.3_004.txt,2015,这些情况警示我们，必须高度警惕国际金融危机卷土重来,中性,0.4431
2015/05-pg2.3_004.txt,2015,从全球股市涨幅与实际GDP增长的对比看，虚拟经济（金融业或资产价格）日渐背离实体经济，自我循环、自我膨胀，这是必须警惕国际金融危机卷土重来的首要原因,中性,0.4768
2015/05-pg2.3_004.txt,2015,2008年国际金融危机爆发以来，发达国家量化宽松政策你追我赶，但其主要效果是刺激了股市暴涨，而推动增长和就业的作用则相当有限,中性,0.4539
2015/10-pg4.1_007.txt,2015,国际金融危机之后，全球贸易在2010年出现一定反弹，但此后一蹶不振,中性,0.4498
2015/16-pg5.4_002.txt,2015,2008年国际金融危机再次证明，没有坚实的制造业支撑，必将导致经济体的不断虚化和弱化,中性,0.4533
2015/10-pg4.1_005.txt,2015,国际金融危机之后，美欧经济持续疲弱,中性,0.4976
2015/12-pg4.3_006.txt,2015,1997年亚洲金融危机的爆发加快了亚洲区域经济一体化进程，2008年国际金融危机再次激发了亚洲各经济体通过区域合作实现复苏增长、经济转型和结构改革的决心和动力,中性,0.5482
2015/15-pg5.3_019.txt,2015,与会者围绕国际金融危机以来的世界社会主义发展、国外共产党发展动态、世界左翼思潮与左翼运动、中国特色社会主义新发展等问题进行研讨，强调要在历史大进程中把握世界社会主义发展态势,中性,0.4567
2015/15-pg5.3_019.txt,2015,中国社会科学院马克思主义研究院院长邓纯东认为，国际金融危机后，世界社会主义处于新的历史转折期，出现了新的变化,中性,0.4200
