article,has_lesson_term,has_effect_term,n_matching_sentences,sample_sentences
2013/60-pg19.2_015.txt,1,1,3,这些年，我国之所以能够经受住国际金融危机和世界经济低迷的冲击，战胜严重自然灾害，国民经济保持平稳较快发展，人民生活不断改善，坚持深化经济体制改革是重要原因 || 这次应对国际金融危机冲击，各国对发挥政府作用有了新的认识，我们也有了更加深刻的体会
2013/60-pg19.2_016.txt,0,1,0,
2013/60-pg19.2_017.txt,0,1,2,巩义20多年雄居河南县域经济领头羊宝座，国际金融危机冲击下一度跌到全省第七 || 河南经济曾以平均13%的增速高歌猛进，但受国际金融危机冲击急转直下，2009年1月工业增长仅1%左右，农民工却汹涌返乡近900万人
2013/61-pg19.3_002.txt,1,1,4,袁鹏：冷战结束后，美国成为全球唯一超级大国，这一地位虽经“9·11”恐怖袭击和金融危机冲击，但并未发生根本变化，其全球影响力可谓无处不在 || 许多西方经济学家提出，30年来，美式自由市场资本主义模式在全球被采用，但是自2008年国际金融危机爆发以来，在美国产生了新一轮的对“华盛顿共识”更深刻的反思
2013/61-pg19.3_003.txt,1,0,0,
2013/61-pg19.3_004.txt,0,1,0,
2013/61-pg19.3_005.txt,1,1,0,
2013/61-pg19.3_006.txt,0,1,0,
2013/61-pg19.3_007.txt,1,1,1,改革是中国经济与社会发展的“主发动机”，只要坚定地走改革开放的道路，中国就可以克服前进道路上的困难，正如中国已经克服国际金融危机带来的影响以及其他困难一样
2013/61-pg19.3_008.txt,0,1,0,
2013/61-pg19.3_009.txt,1,1,4,在受到国际金融危机冲击时，通过及时有效的宏观调控，较好地抵御了外部冲击 || 在应对上世纪90年代末期亚洲金融危机冲击中，我国在坚持人民币不贬值的同时，采取努力扩大内需、刺激经济增长的政策，保持了国内经济的健康稳定增长，同时对缓解亚洲经济紧张形势、带动亚洲经济复苏发挥了重要作用
2013/61-pg19.3_010.txt,0,1,0,
2013/61-pg19.3_011.txt,0,1,0,
2013/61-pg19.3_012.txt,0,1,1,这种建立在虚拟经济基础之上的增长模式持续发展，结果就是资产泡沫的周期性膨胀和破裂，金融危机频繁爆发，实体经济的健康发展受到严重影响
2013/61-pg19.3_013.txt,1,1,0,
2013/61-pg19.3_014.txt,0,1,2,"示范区：承担国家自主创新战略重担 

 2008年，国际金融危机波诡云谲，进而冲击中国 || 2009年3月，在国际金融危机冲击最为严峻的时刻，国务院批复同意建设中关村国家自主创新示范区"
2013/61-pg19.3_015.txt,1,1,1,面对国际金融危机冲击，“看不见的手”潜移默化，“看得见的手”精心调控，让风景这边独好
2013/61-pg19.3_017.txt,0,1,1,国际货币基金组织（IMF）非洲局局长萨耶赫接受本报记者采访时表示：“非洲同中国等新兴市场国家的经贸往来不断加强，贸易格局逐渐多元化，可以帮助非洲国家更好地应对国际金融危机造成的影响
2013/62-pg20.1_001.txt,0,1,1,尤其是在应对国际金融危机冲击中，内需的强劲增长有效弥补了外需的不足，对实现经济平稳较快发展起到了极为关键的作用
2013/62-pg20.1_002.txt,0,1,1,尤其是在应对国际金融危机冲击中，内需的强劲增长有效弥补了外需的不足，对实现经济平稳较快发展起到了极为关键的作用
2013/62-pg20.1_003.txt,1,1,0,
2013/62-pg20.1_004.txt,0,1,1,从积极角度讲，国际金融危机的后续影响虽然还未结束，但世界经济正在缓慢回暖
2013/62-pg20.1_005.txt,0,1,0,
2013/62-pg20.1_006.txt,1,1,0,
2013/62-pg20.1_007.txt,0,1,2,全球金融危机作为当前国际金融格局演变中的关键节点，对中国和欧洲在全球金融治理中的角色与作用产生了深远影响 || 另外，国际金融危机以来，全球金融治理参与方增多，会引发现行体系权力分配结构的调整，这也暗含着冲突
2013/62-pg20.1_008.txt,0,1,0,
2013/62-pg20.1_009.txt,1,1,1,十年改革发展，从有效应对国际金融危机冲击到抗击特大自然灾害取得胜利，中国共产党紧紧抓住和用好我国发展的重要战略机遇期，战胜一系列严峻挑战
2013/62-pg20.1_010.txt,0,1,1,“毛里求斯的旅游产品和服务设计上更多针对欧洲人”，汇丰银行毛里求斯分行首席执行官布里斯告诉本报记者说，受国际金融危机影响，欧洲游客数量明显下降，吸引中国游客成为促进毛里求斯旅游业发展的重点
2013/62-pg20.1_011.txt,0,1,0,
2013/62-pg20.1_013.txt,1,1,0,
2013/62-pg20.1_014.txt,0,1,0,
2013/62-pg20.1_015.txt,0,1,0,
2013/62-pg20.1_016.txt,0,1,1,"结构调整先苦后甜，保障型业务“顶大梁” 

 保险业刚刚走过严冬——2010年以来，受国际金融危机影响，国内保险市场保费来源萎缩；资本市场遇冷间接令保险投资收益低迷"
2013/63-pg20.2_001.txt,1,1,1,发展消费金融有助于刺激消费需求，应对国际金融危机冲击
2013/63-pg20.2_003.txt,0,1,1,自2010年以来，澳政府不断收紧签证政策，且对留学生毕业后申请永久或临时居留等都予以政策限制，加之国际金融危机导致澳政府对教育产业拨款减少，澳元汇率的长期走高还促使学费不断上涨等因素，澳国际教育产业频现颓势
2013/63-pg20.2_004.txt,1,1,1,2008年，国际金融危机冲击之下，国内外大量装备制造企业停工减产
2013/63-pg20.2_005.txt,0,1,2,"请看本报深度调查——
作者：许志峰;王珂;吴秋余
时间：2013-10-28

新华社供图 
 

 本报记者　许志峰　王珂　吴秋余 

 编者按 

 “地方债有可能引发债务危机”、“中国地方债比美国金融危机更危险”、“地方债风险一触即发将失控”……地方债问题已经引起广泛关注，众说纷纭 || ”贾康说，诸如为抵御金融危机冲击而兴办的投资项目和经济增长点建设，加快城乡基础设施建设、兴建大型公益项目和改善市容市貌等"
2013/63-pg20.2_006.txt,1,1,1,在应对国际金融危机过程中，我们进一步认识到这场金融危机实质上冲击的是我国的经济发展方式
2013/63-pg20.2_007.txt,1,1,0,
2013/63-pg20.2_008.txt,0,1,1,此外，由西方所引发的国际金融危机影响犹在，中国与其邻国在金融领域更应当紧密合作，开发出更大的潜能
2013/63-pg20.2_009.txt,0,1,1,2008年国际金融危机爆发后，当时的澳大利亚工党政府推出了大规模的刺激措施，以缓冲全球经济下滑对澳国内经济的负面影响，澳政府债务占GDP的比例也因此从接近于零上升至10%左右
2013/63-pg20.2_010.txt,1,1,0,
2013/63-pg20.2_012.txt,1,1,0,
2013/63-pg20.2_013.txt,0,1,1,统计数据显示，尽管受国际金融危机影响，多数东盟国家的经济增长于2009年有所放缓，但总体上，在2005年至2012年间，东盟10国的GDP始终保持增势
2013/63-pg20.2_014.txt,1,1,1,他说，当前世界经济继续缓慢复苏，但国际金融危机深层影响远未消除，还存在许多不稳定不确定因素
2013/63-pg20.2_015.txt,0,1,1,过去五年，在国际金融危机的冲击下，许多亚太国家都经历了巨大挑战，亚太国家要激发新的活力，不仅需要大力推动开放、切实加强合作，更需要锐意推进改革，对内调整阻碍创新发展的体制机制，对外取消国家之间的繁文缛节和贸易壁垒
2013/63-pg20.2_016.txt,1,1,4,"本报记者 丁大伟摄 
 

 王怀宇 孙彦红 

 作为欧盟经济的中坚力量，中小企业不可避免地受到国际金融危机、欧债危机的强烈冲击 || 欧洲的金融体系整体上由银行业主导，金融危机爆发后，去杠杆化、债务重组等严重影响了银行的放贷能力，企业融资环境异常艰难，中小企业尤甚"
2013/63-pg20.2_017.txt,0,1,1,"” 

 与此相映照的是这样一组镜头：2008年底，国际金融危机来势汹涌，面对猛烈冲击，中国工会发起了企业与职工的“共同约定行动”：企业承诺不裁员、少裁员，不减薪、少减薪；职工决心坚守本职岗位、主动献计出力，与企业同舟共济、共渡难关"
2013/64-pg20.3_001.txt,1,1,0,
2013/64-pg20.3_004.txt,1,1,1,事实上，持续已久的国际金融危机，早已触动了欧盟及其成员国对实体经济与虚拟经济、工业与服务业关系的进一步深刻反思
2013/64-pg20.3_005.txt,0,1,1,当前，国际金融危机深层次影响仍未消除，跨境金融风险不可忽视；主要发达经济体结构性问题远未解决，加强宏观经济政策协调必要性突出；一些亚太新兴市场经济体面临的外部风险和压力增大，金融市场波动，经济增速放缓；世界贸易组织多哈回合谈判进展缓慢，贸易和投资保护主义有新的发展
2013/64-pg20.3_006.txt,0,1,1,面对国际经济金融危机持续反复发酵，我们积极构建地区和多双边自贸体系，大力推进周边互联互通，主动参与国际经济金融体制调整，不断增强我国对全球经济治理的发言权和影响力，为促进国内经济发展，拓展我国海外利益创造更为稳定良好的条件和环境
2013/64-pg20.3_007.txt,1,0,0,
2013/64-pg20.3_009.txt,1,1,2,在美国次贷危机引发国际金融危机5年之后，国际金融体系相关改革进展如何 || IMF接受亚洲金融危机政策应对错误的教训，更积极关注于对欧元区危机和金融危机重灾国的救助方案
2013/64-pg20.3_010.txt,0,1,1,东盟与中日韩合作产生于亚洲金融危机之际，又经过应对国际金融危机冲击的洗礼，对本地区经济稳定发挥了重要作用
2013/64-pg20.3_011.txt,0,1,1,李克强在讲话中说，东盟与中日韩合作诞生于亚洲金融危机之际，又经过应对国际金融危机冲击的洗礼，对促进地区经济稳定发挥了重要作用，为推动东亚和世界经济增长作出了积极贡献
2013/64-pg20.3_012.txt,0,1,1,李克强在讲话中说，东盟与中日韩合作诞生于亚洲金融危机之际，又经过应对国际金融危机冲击的洗礼，对促进地区经济稳定发挥了重要作用，为推动东亚和世界经济增长作出了积极贡献
2013/64-pg20.3_013.txt,0,1,1,国际贸易形势直接决定了新加坡的经济增长，所以1997年亚洲金融危机、2001年全球电子业下滑以及2008年国际金融危机都对新加坡贸易出口、经济增速带来直接影响
2013/64-pg20.3_014.txt,1,1,0,
2013/64-pg20.3_016.txt,0,1,0,
2014/30-pg9.3_001.txt,0,1,0,
2014/30-pg9.3_002.txt,1,1,0,
2014/30-pg9.3_003.txt,1,1,0,
2014/30-pg9.3_004.txt,1,1,0,
2014/30-pg9.3_005.txt,0,1,0,
2014/30-pg9.3_006.txt,1,1,0,
2014/30-pg9.3_008.txt,0,1,0,
2014/30-pg9.3_009.txt,0,1,0,
2014/30-pg9.3_010.txt,0,1,0,
2014/30-pg9.3_011.txt,1,1,1,国家新闻出版广电总局出版管理司司长张福海在讲话中指出，面对当前海外图书发行所面临的数字化挑战、人民币升值压力、互联网、新媒体蓬勃发展、可供海外销售品种仍然有限、国际金融危机影响等因素，总局将通过加大对渠道拓展工程扶持力度、扩大经典中国海外出版项目资助范围、实施版权输出全面资助政策、实施丝路书香工程以及扩大中华图书特殊贡献奖获奖范围等措施对图书对外发行工作给与支持
2014/30-pg9.3_013.txt,0,1,0,
2014/30-pg9.3_014.txt,0,1,0,
2014/30-pg9.3_015.txt,0,1,0,
2014/30-pg9.3_016.txt,1,1,2,国际金融危机对欧、美银行体系都造成了重大冲击 || 存款保险在我国起步虽不算早，决策层却早有洞察，在多年潜心研究和比较分析，特别是有机会充分借鉴了国际金融危机中正反两方面的经验教训之后，相对于一些正在反思和重建的国家，在趋势和理念上我们有可能后发而先至
2014/30-pg9.3_017.txt,1,1,1,国际金融危机的经验表明，纯粹的“付款箱”模式只能事后被动赔付，缺乏对问题银行进行早期干预和风险处置的能力
2014/30-pg9.3_018.txt,1,1,0,
2014/30-pg9.3_019.txt,0,1,0,
2014/31-pg10.1_001.txt,0,1,3,特别是受金融危机影响，西方一些国家的选民疲于赚钱糊口，对选举政治的热情日益降温 || 在国际金融危机的冲击下，持续低迷的经济境况使得民众对欧盟机构及其领导人的工作效率以及执政能力产生诸多不满
2014/31-pg10.1_002.txt,1,1,0,
2014/31-pg10.1_003.txt,0,1,0,
2014/31-pg10.1_004.txt,0,1,0,
2014/31-pg10.1_005.txt,0,1,0,
2014/31-pg10.1_006.txt,0,1,0,
2014/31-pg10.1_007.txt,0,1,0,
2014/31-pg10.1_008.txt,0,1,1,新西兰人士普遍认为，借中国经济增长的东风，新西兰在一定程度上抵御了国际金融危机的影响
2014/31-pg10.1_009.txt,1,1,1,反恐战争、国际金融危机、欧美债务危机、新兴市场国家群体崛起、西亚北非局势动荡等重大事件频发；世界多极化、经济全球化、网络普及化等发展前所未有，深刻地影响了全球政治、经济、文化、生态等诸多方面
2014/31-pg10.1_010.txt,0,1,0,
2014/31-pg10.1_011.txt,0,1,0,
2014/31-pg10.1_012.txt,0,1,0,
2014/31-pg10.1_013.txt,1,1,1,”新西兰工党议员戈夫曾参加新中自贸协定谈判与签署，他对本报记者表示，新西兰借中国经济增长的东风，在一定程度上抵御了国际金融危机的影响
2014/31-pg10.1_015.txt,0,1,0,
2014/32-pg10.2_001.txt,0,1,0,
2014/32-pg10.2_002.txt,1,0,0,
2014/32-pg10.2_003.txt,1,0,0,
2014/32-pg10.2_004.txt,0,1,0,
2014/32-pg10.2_006.txt,1,0,0,
2014/32-pg10.2_007.txt,1,1,0,
2014/32-pg10.2_008.txt,1,1,0,
2014/32-pg10.2_009.txt,0,1,0,
2014/32-pg10.2_010.txt,0,1,0,
2014/32-pg10.2_011.txt,1,1,0,
2014/32-pg10.2_012.txt,0,1,1,近年来，东亚国家同舟共济，克服国际金融危机影响，保持地区稳定和经济增长势头，继续为世界繁荣发展作出贡献
2014/32-pg10.2_014.txt,1,1,0,
2014/32-pg10.2_015.txt,1,1,0,
2014/33-pg10.3_001.txt,1,1,1,尽管受国际金融危机冲击，近十年来，中尼双边贸易仍然逆势增长
2014/33-pg10.3_002.txt,0,1,0,
2014/33-pg10.3_003.txt,0,1,0,
2014/33-pg10.3_005.txt,1,1,1,国际金融危机深层次影响尚未消除，贸易和投资保护主义却在上升
2014/33-pg10.3_006.txt,1,1,0,
2014/33-pg10.3_007.txt,1,0,0,
2014/33-pg10.3_008.txt,1,0,1,在后国际金融危机时期，我们既要抓住经济增长这个核心，加强宏观政策协调，又要妥善应对流行性疾病、粮食安全、能源安全等全球性问题，以信息共享增进彼此了解，以经验交流分享最佳实践，以沟通协调促进集体行动，以互帮互助深化区域合作
2014/33-pg10.3_009.txt,1,1,0,
2014/33-pg10.3_010.txt,1,1,0,
2014/33-pg10.3_012.txt,0,1,0,
2014/33-pg10.3_013.txt,1,1,1,国际金融危机后续影响尚未完全消除，一些经济体的复苏仍然脆弱，亚太经济提高质量和效益任务艰巨，新旧增长点转换任务艰巨
2014/33-pg10.3_014.txt,1,1,1,"” 

 通过亚洲互联互通建设，开拓人民观察世界、放飞理想的窗口，拓宽人民脱贫致富的道路 

 当前，国际金融危机影响犹存，外部需求不足，对资本、市场和技术的竞争日趋激烈"
2014/33-pg10.3_016.txt,0,1,1,当前，国际金融危机影响犹存，外部需求不足，对资本、市场和技术的竞争日趋激烈，亚洲国家面临不进则退的压力
2014/33-pg10.3_017.txt,0,1,1,当前，国际金融危机影响犹在，世界经济和国际贸易增速放缓
2014/33-pg10.3_018.txt,0,1,0,
2014/33-pg10.3_019.txt,0,1,0,
2014/34-pg10.4_001.txt,1,1,0,
2014/35-pg11.1_001.txt,0,1,0,
2014/35-pg11.1_002.txt,0,1,0,
2014/35-pg11.1_003.txt,1,1,1,前几年，为应对国际金融危机冲击，我国出台一揽子刺激政策，为我国经济稳健增长和世界经济复苏作出重大贡献
2014/35-pg11.1_004.txt,0,1,0,
2014/35-pg11.1_005.txt,1,1,1,中国积极推动互联互通建设，与亚太国家一起抵御了国际金融危机影响
2014/35-pg11.1_006.txt,0,1,0,
2014/35-pg11.1_007.txt,1,1,0,
2014/35-pg11.1_008.txt,1,1,5,"作用与风险 

 建立多层次金融安全网，但国际金融危机特别是欧债危机的教训显示，制度本身也存在道德风险 

 建立和完善存款保险制度，一是有利于保护存款人特别是中低收入存款人的利益，增强其对银行业的信心 || 可以说，如果没有联邦存款保险制度，美国金融危机的影响会更加严重"
2014/35-pg11.1_009.txt,0,1,0,
2014/35-pg11.1_010.txt,1,1,0,
2014/35-pg11.1_011.txt,1,1,2,第四，国际金融危机和欧洲主权债务危机之后，国际经济环境出现了新变化特别是发达国家意识到服务业过度发展、产业空心化等结构性问题，一方面试图实现再工业化，另一方面加紧推行贸易保护主义措施，使得国际经济竞争日趋激烈，国际经济环境日益严峻，这会对我国经济形成较长期的影响 || 第三，在应对国际金融危机过程中我们采取的一系列刺激经济的措施，对抵御国际金融危机冲击、拉动国内需求、保持我国经济适度较快增长起到了重要作用
2014/35-pg11.1_012.txt,1,1,1,国际金融危机冲击前后的2008年和2009年，年内波动幅度分别是3.6和4.7个百分点，2010年—2013年分别是2.5、0.9、0.5、0.3个百分点，今年前三季度波动幅度只有0.2个百分点
2014/35-pg11.1_013.txt,0,1,1,2008年，是国际金融危机冲击下外贸出口下滑比较严重的年份
2014/35-pg11.1_014.txt,0,1,4,很多分析认为，欧洲经济一副疲态，主要是因为金融危机冲击太深 || 其实，复苏不振固然和金融危机影响深重关系密切，但根本原因还在于，欧洲经济没有跟上全球经济大转型的步伐，落伍了
2014/35-pg11.1_015.txt,0,1,1,自国际金融危机以来，世界经济增长疲软乏力，导致原油需求不振，多个国际机构下调了今明两年的需求预期
2014/35-pg11.1_016.txt,0,1,1,国际金融危机后，西方国家经济不景气，导致国内融资回报率偏低，大量闲置的廉价资金才流入非洲
2014/36-pg11.2_001.txt,0,1,0,
2014/36-pg11.2_002.txt,1,1,1,一是爆发于2008年的国际金融危机引发人们对资本主义制度的危机感；二是西亚北非国家和乌克兰相继发生的动荡说明，机械复制西方体制引发政治失序的教训愈发明显；三是以中国为代表的一些新兴市场国家和发展中国家以自己选择的路径迅速崛起，改变了全球格局
2014/36-pg11.2_003.txt,1,1,1,国际金融危机期间，金砖国家等新兴市场国家不计后果全力以赴帮助美国等西方国家克服危机，而后者在危机后期全身而退时，根本不考虑前者所面临的严重冲击
2014/36-pg11.2_004.txt,0,1,0,
2014/36-pg11.2_005.txt,0,1,0,
2014/36-pg11.2_006.txt,1,1,0,
2014/36-pg11.2_007.txt,1,1,1,当前，从国际看，国际金融危机的深层次影响不断显现，新兴市场国家经济增速普遍下滑，世界经济步入低速增长新常态；从国内看，经济下行风险、产能过剩风险、地方政府债务风险、流动性风险等已影响经济稳定运行
2014/36-pg11.2_008.txt,1,1,0,
2014/36-pg11.2_009.txt,0,1,0,
2014/36-pg11.2_010.txt,0,1,0,
2014/36-pg11.2_011.txt,0,1,0,
2014/36-pg11.2_012.txt,0,1,1,加之国际金融危机已经暴露出虚拟经济与实体经济间的传导方式所存在的严重问题，导致发达国家试图用一两个宏观政策上的妙招促进经济全面增长变得异常困难
2014/36-pg11.2_013.txt,0,1,0,
2014/36-pg11.2_014.txt,0,1,0,
2014/36-pg11.2_015.txt,0,1,1,十年间，东风始终坚持走内涵式发展道路，坚持经营质量优先，强调盈利性增长，产品结构更加合理，乘用车、商用车比例由曾经的3∶7调整为7∶3；经营质量显著提升，东风产销量、综合市场占有率、销售收入、上缴税费等稳步增长；企业抗风险能力显著加强，战胜国际金融危机和其他不利因素带来的冲击；全面完成国务院国资委各项考核指标，连续三届被评为全国文明单位
2014/37-pg11.3_001.txt,0,1,0,
2014/37-pg11.3_002.txt,0,1,1,2008年国际金融危机中，美国大多数行业都受到严重冲击，唯独游戏行业保持了两位数的强劲增长
2014/37-pg11.3_004.txt,1,0,0,
2014/37-pg11.3_006.txt,0,1,0,
2014/37-pg11.3_007.txt,0,1,0,
2014/37-pg11.3_008.txt,1,1,1,当前，国际金融危机深层次影响还未消除，形形色色的保护主义明显升温，地缘政治形势紧张，地区热点此起彼伏，霸权主义、强权政治和新干涉主义有所上升
2014/37-pg11.3_009.txt,0,1,1,2008年国际金融危机以来，中国成功应对危机冲击，实施负责任的经济金融政策，保持国内经济社会大局稳定，扮演了世界经济稳压器的角色
2014/37-pg11.3_010.txt,0,1,0,
2014/37-pg11.3_011.txt,0,1,2,美国经济发展缓慢，欧洲经济规模仍然比国际金融危机前要小，导致对中国商品的需求大幅缩减，造成中国出口环境恶化 || 同时，国际金融危机加剧了美国全球影响力衰退的趋势，这一观点得到了广泛认同
2014/37-pg11.3_012.txt,0,1,0,
2014/37-pg11.3_013.txt,0,1,0,
2014/37-pg11.3_014.txt,0,1,1,国际金融危机爆发以来，低息的欧元在一些欧洲国家制造了信贷泡沫，导致其经济大幅下滑，失去了竞争力
2014/37-pg11.3_015.txt,1,1,0,
2014/37-pg11.3_016.txt,1,1,0,
2014/37-pg11.3_017.txt,0,1,0,
2014/37-pg11.3_018.txt,0,1,1,这种债券将不同企业的债券捆绑销售，但会导致债券的风险透明度下降，曾导致2008年的国际金融危机
2014/38-pg12.1_001.txt,1,1,1,6年来，虽然遭遇了国际金融危机的严重冲击，但是天津经济仍然保持了良好的发展势头，年均增速达到15%以上，质量效益不断提高，产业结构明显优化，国际化步伐进一步加快，这些成绩的取得，与夏季达沃斯论坛所发挥的重要作用密不可分
2014/38-pg12.1_002.txt,1,1,0,
2014/38-pg12.1_004.txt,0,1,0,
2014/38-pg12.1_005.txt,0,1,1,"智能手机纷纷升级斗俏 

 受国际金融危机影响，全球消费电子市场仍处复苏阶段，但智能手机表现抢眼"
2014/38-pg12.1_006.txt,1,1,0,
2014/38-pg12.1_007.txt,0,1,1,特别是当前海运发展受国际金融危机的影响，海运业形势严峻，“国务院出台这个文件，对提振信心，凝聚合力，深化海运企业的改革，促进企业转型升级，应该说都具有非常重要的意义和指导作用
2014/38-pg12.1_008.txt,1,1,1,在他的领导下，波兰最先在欧盟国家中摆脱国际金融危机和欧债危机的影响，保持了稳定的经济增长；自乌克兰危机以来，他领导的波兰政府是欧盟中最坚定地要求对俄罗斯予以制裁的政府之一；此外，图斯克还得到德国总理默克尔和英国首相卡梅伦的大力支持
2014/38-pg12.1_010.txt,0,1,1,2008年国际金融危机使世界经济和贸易受到严重冲击，全球航运陷入低谷，巴拿马运河也不例外
2014/38-pg12.1_011.txt,1,1,0,
2014/38-pg12.1_012.txt,1,0,0,
2014/38-pg12.1_013.txt,1,1,0,
2014/38-pg12.1_015.txt,0,1,1,从需求看，国际金融危机后外需扩张放慢，国内制造业投资受产能过剩约束增幅回落，房地产投资受市场深度调整影响增长放缓，基础设施建设仍有很大空间，但增加投入受到地方政府负债水平上升制约增速放缓；从供给看，劳动年龄人口数量减少，储蓄率和投资率趋于下降，土地和能源资源供需发生变化，环境约束强化，原有的低成本优势减弱
2014/38-pg12.1_016.txt,0,1,0,
2014/39-pg12.2_001.txt,0,1,0,
2014/39-pg12.2_002.txt,0,1,1,在世界经济复苏缓慢态势下，金融风险的再度累积引发了人们对金融危机卷土重来的担忧
2014/39-pg12.2_003.txt,1,1,1,2008年国际金融危机对我国经济发展造成负面影响，特别是一些企业的资金链断裂，一些企业老板恶意‘跑路’，企图一跑了之
2014/39-pg12.2_005.txt,0,1,1,2008年国际金融危机爆发后，中国为世界经济度过危机发挥了重要作用，这让全世界都看到了中国对世界经济的影响力
2014/39-pg12.2_006.txt,0,1,0,
2014/39-pg12.2_007.txt,1,1,0,
2014/39-pg12.2_008.txt,1,1,0,
2014/39-pg12.2_009.txt,1,1,0,
2014/39-pg12.2_012.txt,1,1,0,
2014/39-pg12.2_013.txt,1,1,1,在成功经受住国内外政治风波严峻考验和亚洲金融危机冲击的同时，改革开放进入一个着力构建社会主义市场经济体制基本框架的新阶段
